,boro_cd,shape_area,shape_leng,shape_new,Name
0,311,103177785.3,51549.5579,0.601412459,Bensonhurst
1,313,88195686.27,65821.87562,0.123352122,Coney Island
2,312,99525499.99,52245.83049,0.9389220932,Borough Park
3,304,56663216.89,37008.10032,0.317130731,Bushwick
4,206,42664311.36,35875.711,0.8814436984,Morrisania/East Tremont0
5,208,92071724.04,47817.4554,0.2490050215,Riverdale/Kingsbridge
6,212,154896607.4,83998.35551,0.6973255302,Williamsbridge/Baychester0
7,226,50566410.75,32820.39859,0.9262166149,Williamsbridge/Baychester1
8,317,93810206.71,43326.85062,0.2420345498,East Flatbush
9,309,45326297.57,29944.47449,0.381947753,South Crown Heights
10,306,85497478.45,82130.53929,0.807598714,Park Slope/Carroll Gardens0
11,404,65739662.04,37018.37343,0.5895901495,Elmhurst/Corona0
12,316,51768906.91,32997.57498,0.6989247717,Brownsville/Ocean Hill
13,412,267333268,65928.41098,0.2623314413,Jamaica
14,405,210395744.6,70005.2524,0.6316441235,Middle Village/Ridgewood
15,205,38317034.91,29416.37842,0.04174701753,University Heights/Fordham
16,482,24293239.42,32007.66899,0.6564032042,Kew Gardens/Woodhaven0
17,315,131643044.6,115288.5413,5.88E-05,Sheepshead Bay/Gravesend
18,207,53311629.99,44785.477,0.9168505566,Kingsbridge Heights/Mosholu
19,105,43790297.68,35288.3052,0.8492516764,Chelsea/Clinton/Midtown0
20,305,155482769,65109.21051,0.2349701126,East New York/Starrett City
21,204,55533796.41,31291.32687,0.05220386805,Highbridge/S. Concourse
22,308,45592893.88,38229.60261,0.7126904614,North Crown Heights/Prospect Heights
23,355,26143862.04,23963.45484,0.06239299453,Park Slope/Carroll Gardens1
24,410,171634376.6,105203.9633,0.0347817631,Howard Beach/S. Ozone Park
25,483,191669442.4,107281.5101,0.6684186326,Bellerose/Rosedale0
26,314,82175671.73,49291.79131,0.3021179459,Flatbush
27,302,79329420.77,74179.91294,0.8753503042,Brooklyn Heights/Fort Greene
28,303,79461359.65,36213.69604,0.6713316157,Bedford Stuyvesant
29,101,42686588.7,73762.39322,0.06859338633,Greenwich Village/Financial District0
30,307,104141853.2,87424.46794,0.3373667465,Sunset Park
31,413,350465366.6,139786.9493,0.5718896629,Bellerose/Rosedale1
32,228,92324083.1,118917.8536,0.5449092041,Throgs Neck/Co-op City0
33,310,111317142.3,44795.663,0.8216439225,Bay Ridge
34,403,83488693.49,41785.13816,0.7881411426,Jackson Heights0
35,110,39084627.77,35825.2907,0.486159153,Central Harlem
36,407,328355406.3,139179.703,0.5368602162,Flushing/Whitestone
37,411,260818803.3,97663.80845,0.3521189697,Bayside/Little Neck
38,111,66146008.8,59502.90939,0.4325203074,East Harlem
39,501,376945329.3,158002.1953,0.003958819434,North Shore
40,201,60401501.3,33337.65705,0.006721461192,Mott Haven/Hunts Point0
41,112,77966612.93,56219.76316,0.657345803,Washington Heights/Inwood
42,202,61854847.82,49485.23586,0.4699348151,Mott Haven/Hunts Point1
43,203,44815535.76,33496.52729,0.5228052286,Morrisania/East Tremont1
44,164,38312333.83,32721.41132,0.5658170551,Upper West Side0
45,103,46879700.62,30468.3406,0.3384104711,Lower East Side/Chinatown
46,102,37689212.48,34130.59586,0.065900855,Greenwich Village/Financial District1
47,104,49311794.04,67623.94668,0.2034377079,Chelsea/Clinton/Midtown1
48,107,53152823.16,39863.70138,0.5478689021,Upper West Side1
49,109,41892183.28,34959.18494,0.4643958691,Morningside Heights/Hamilton Heights
50,108,55168804.87,53561.0969,0.385299921,Upper East Side
51,408,207411042.4,69431.95123,0.09173943033,Hillcrest/Fresh Meadows
52,481,47555735.52,53806.20795,0.5797282723,Elmhurst/Corona1
53,484,123780064.1,247815.3534,0.8145699208,Rockaways0
54,406,82702417.14,42758.96956,0.5388140709,Forest Hills/Rego Park
55,409,107421788.7,50803.1637,0.1609719265,Kew Gardens/Woodhaven1
56,503,599062130,189000.7081,0.01761770528,South Shore
57,414,195719590.3,211896.7923,0.5349837292,Rockaways1
58,209,114266290.5,62239.73358,0.1357161936,Southview/Parkchester
59,210,178962267.2,270659.6861,0.6681706423,Throgs Neck/Co-op City1
60,480,32717421.48,45442.7982,0.7366163237,Jackson Heights1
61,318,235419528.5,189662.4418,0.4328275169,Flatlands/Canarsie0
62,356,133671675.7,265184.2538,0.9113432507,Flatlands/Canarsie1
63,106,38729090.03,42705.93748,0.7099326164,Stuyvesant Town/Turtle Bay
64,301,131753328.1,69090.95805,0.8736139042,Williamsburg/Greenpoint
65,211,100313564.1,45740.91953,0.06037107413,Pelham Parkway
66,227,31432007.96,28391.62971,0.7848909483,Morrisania/East Tremont2
67,401,171548887,90042.71811,0.03130490659,Astoria
68,402,139891458.9,71543.04466,0.4305619868,Sunnyside/Woodside
69,502,593198080.5,142669.7245,0.4712296538,Mid-Island0
70,595,54715143.11,110237.3282,0.6773535754,Mid-Island1
