Year;Intercept;Householder.sexMale;Householder.age;Householder.hispanic.originNot hispanic;Duration.of.stay.as.of.2017;Number.of.units10-19 units;Number.of.units100+ units;Number.of.units2 units;Number.of.units20-49 units;Number.of.units3-5 units;Number.of.units50-99 units;Number.of.units6-9 units;Owner.in.buildingYes;Number.of.stories11-20 stories;Number.of.stories21+ stories;Number.of.stories3-5 stories;Number.of.stories6-10 stories;Number.of.rooms;Plumbing.facilitiesYes;Kitchen.facilitiesYes;Length.of.lease2 years;Length.of.leaseBetween 1 and 2 years;Length.of.leaseLess than 1 year;Length.of.leaseMore than 2 years;Length.of.leaseNo lease;Length.of.leaseOwner-occupied;Resident.ratingFair;Resident.ratingGood;Resident.ratingPoor;Householder.income;BoroughBrooklyn;BoroughManhattan;BoroughQueens;BoroughStaten Island
1991;3.419850988;-0.217935201;-0.012726807;-0.123302642;0.200292652;0.893830851;0.74259912;-0.100881898;0.933274485;0.201445414;0.844605365;0.649691849;-0.464106929;-0.746069583;-0.988109005;0.126544435;-0.226326913;0.08058528;-1.153723259;-1.301839464;0.24619542;0.255517653;-0.110550395;-0.060747663;0.085101973;-0.040583757;0.980559501;0.256459045;2.326698594;0.000276041;-0.17074715;0.084335132;-0.499184858;-0.118822067
1993;1.914993943;-0.148705405;-0.009149464;-0.193187617;0.147855017;0.770619108;0.86960475;0.04870066;0.802407945;0.149451792;0.790937968;0.760198814;-0.498729624;-0.816010309;-1.033058145;0.133826736;-0.221543285;0.116004085;-0.939646203;-0.711065867;0.150888403;-0.149620877;0.340954876;0.221844924;0.136949446;0.005340925;0.954593842;0.231696059;2.04547395;0.030414028;-0.02576395;0.295964701;-0.432856459;-0.286240075
1996;2.927634771;-0.127032214;-0.009316635;-0.261286272;0.108758352;0.493088122;0.464096291;-0.076543776;0.695173778;0.022267415;0.471770746;0.361607515;-0.462874975;-0.642824138;-0.719658206;0.195827998;-0.177303304;0.066855387;-1.348243065;-0.45643681;0.14423055;-0.156015787;0.225349593;0.212832201;0.151550669;-0.004125729;0.946327347;0.26242444;2.118426503;0.0029812;-0.195681967;0.085200233;-0.491997233;-0.435045531
1999;2.062663351;-0.131833806;-0.010716249;-0.093900081;0.165840407;0.687955741;0.463817032;-0.134198781;0.593723576;0.08972797;0.485750777;0.463969899;-0.408366007;-0.501193367;-0.701032807;0.079837722;-0.064611924;0.061567525;-0.667144197;-0.578450524;0.21778984;0.159234681;0.190369877;0.280857603;0.25001995;0.006900587;0.867335407;0.250634673;2.272909233;-0.006308725;-0.010455593;0.086197715;-0.351201821;-0.208831575
2002;1.64097671;-0.085499501;-0.007966326;-0.067930043;0.149153953;0.625422069;0.580823239;0.017142;0.706508661;0.12912076;0.587121666;0.628561111;-0.333945479;-0.440789102;-0.65967061;0.092945387;-0.059716271;0.086587456;-0.395077121;-0.725710348;0.183347291;0.284937933;0.515590691;0.1526477;0.108385871;-0.090629694;0.858511647;0.172702279;1.880846901;0.002094559;-0.159976507;-0.077819624;-0.402998064;-0.307841477
2005;1.525373614;-0.099594874;-0.00818082;-0.069908335;0.158348339;0.502891083;0.401402602;-0.108380799;0.639719601;-6.71E-05;0.44953713;0.371544542;-0.357995902;-0.510270016;-0.553306686;0.099727287;-0.104968067;0.054208299;0.063641598;-0.857715147;0.125763428;-0.020826306;0.304012796;0.235013399;-0.000330263;-0.181994784;0.947580581;0.241521569;2.079515288;0.010233982;-0.104647558;-0.00495993;-0.428905282;-0.253330946
2008;2.354547759;-0.116414653;-0.007366956;-0.05703936;0.1981446;0.378596622;0.29530534;-0.146821299;0.417119855;-0.007587907;0.301970843;0.230440526;-0.232076046;-0.382495431;-0.48244207;0.092442647;-0.032828929;0.033135286;-0.896240326;-0.752310126;0.16101182;-0.340753747;0.065684488;-0.050677946;0.067297172;-0.210910206;0.853792835;0.158338755;1.825605491;0.015742961;-0.206359719;-0.215123238;-0.410260796;-0.351807274
2011;1.598000159;-0.10085344;-0.006528399;-0.079488265;0.227222735;0.348579454;0.231653716;-0.039241098;0.444839279;0.050531742;0.399569829;0.435296844;-0.332899569;-0.268530078;-0.312233942;0.136949651;0.044646437;0.066758379;-1.034383114;-0.091177132;0.100362539;-0.159100735;0.184685757;0.26830666;0.086055482;-0.238535824;0.901000707;0.288597678;1.826778836;0.004819616;-0.021692949;0.002002644;-0.336525347;-0.51637144
2014;1.693843754;-0.093316736;-0.004046239;-0.191904326;0.325552986;0.43222271;0.352627045;0.023256731;0.489518064;0.033698315;0.423096644;0.387877496;-0.358901613;-0.212089169;-0.362599577;0.095105018;0.0813694;0.064187512;-0.396799973;-0.833386244;-0.021363029;-0.210197485;0.184181013;0.197379108;0.089996349;-0.20699318;0.68405995;0.23093279;1.69340434;0.006291067;-0.105341246;-0.146170082;-0.379842253;-0.437644569
2017;0.786758919;-0.048263047;-0.003656403;-0.102575555;0.189287195;0.316860391;0.248610995;-0.073056723;0.38967509;0.051722702;0.303760785;0.183698317;-0.241870333;0.027125866;-0.328952143;0.143939882;0.08817616;0.085088344;-0.457749348;-0.049871499;-0.067885605;-0.195275751;0.066592839;-0.103736945;-0.035696133;-0.318835509;0.955054375;0.198799929;1.879060397;0.00225694;-0.186999218;-0.094764112;-0.322443301;-0.455799183
